Support Rep	InvoiceId	CustomerId	InvoiceDate	BillingAddress	BillingCity	BillingState	BillingCountry	BillingPostalCode	Total
Steve Johnson	1	2	2009-01-01 00:00:00	Theodor-Heuss-Straße 34	Stuttgart		Germany	70174	1.98
Margaret Park	2	4	2009-01-02 00:00:00	Ullevålsveien 14	Oslo		Norway	0171	3.96
Margaret Park	3	8	2009-01-03 00:00:00	Grétrystraat 63	Brussels		Belgium	1000	5.94
Steve Johnson	4	14	2009-01-06 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	8.91
Margaret Park	5	23	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86
Jane Peacock	6	37	2009-01-19 00:00:00	Berger Straße 10	Frankfurt		Germany	60316	0.99
Jane Peacock	7	38	2009-02-01 00:00:00	Barbarossastraße 19	Berlin		Germany	10779	1.98
Margaret Park	8	40	2009-02-01 00:00:00	8, Rue Hanovre	Paris		France	75002	1.98
Jane Peacock	9	42	2009-02-02 00:00:00	9, Place Louis Barthou	Bordeaux		France	33000	3.96
Jane Peacock	10	46	2009-02-03 00:00:00	3 Chatham Street	Dublin	Dublin	Ireland		5.94
Jane Peacock	11	52	2009-02-06 00:00:00	202 Hoxton Street	London		United Kingdom	N1 5LH	8.91
Steve Johnson	12	2	2009-02-11 00:00:00	Theodor-Heuss-Straße 34	Stuttgart		Germany	70174	13.86
Margaret Park	13	16	2009-02-19 00:00:00	1600 Amphitheatre Parkway	Mountain View	CA	USA	94043-1351	0.99
Steve Johnson	14	17	2009-03-04 00:00:00	1 Microsoft Way	Redmond	WA	USA	98052-8300	1.98
Jane Peacock	15	19	2009-03-04 00:00:00	1 Infinite Loop	Cupertino	CA	USA	95014	1.98
Steve Johnson	16	21	2009-03-05 00:00:00	801 W 4th Street	Reno	NV	USA	89503	3.96
Steve Johnson	17	25	2009-03-06 00:00:00	319 N. Frances Street	Madison	WI	USA	53703	5.94
Steve Johnson	18	31	2009-03-09 00:00:00	194A Chain Lake Drive	Halifax	NS	Canada	B3S 1C5	8.91
Margaret Park	19	40	2009-03-14 00:00:00	8, Rue Hanovre	Paris		France	75002	13.86
Steve Johnson	20	54	2009-03-22 00:00:00	110 Raeburn Pl	Edinburgh 		United Kingdom	EH4 1HH	0.99
Margaret Park	21	55	2009-04-04 00:00:00	421 Bourke Street	Sidney	NSW	Australia	2010	1.98
Steve Johnson	22	57	2009-04-04 00:00:00	Calle Lira, 198	Santiago		Chile		1.98
Jane Peacock	23	59	2009-04-05 00:00:00	3,Raj Bhavan Road	Bangalore		India	560001	3.96
Margaret Park	24	4	2009-04-06 00:00:00	Ullevålsveien 14	Oslo		Norway	0171	5.94
Margaret Park	25	10	2009-04-09 00:00:00	Rua Dr. Falcão Filho, 155	São Paulo	SP	Brazil	01007-010	8.91
Jane Peacock	26	19	2009-04-14 00:00:00	1 Infinite Loop	Cupertino	CA	USA	95014	13.86
Jane Peacock	27	33	2009-04-22 00:00:00	5112 48 Street	Yellowknife	NT	Canada	X1A 1N6	0.99
