Total	Customer	Country	Support Rep
1.98	Leonie Köhler	Germany	Steve Johnson
3.96	Bjørn Hansen	Norway	Margaret Park
5.94	Daan Peeters	Belgium	Margaret Park
8.91	Mark Philips	Canada	Steve Johnson
13.86	John Gordon	USA	Margaret Park
0.99	Fynn Zimmermann	Germany	Jane Peacock
1.98	Niklas Schröder	Germany	Jane Peacock
1.98	Dominique Lefebvre	France	Margaret Park
3.96	Wyatt Girard	France	Jane Peacock
5.94	Hugh O'Reilly	Ireland	Jane Peacock
8.91	Emma Jones	United Kingdom	Jane Peacock
13.86	Leonie Köhler	Germany	Steve Johnson
0.99	Frank Harris	USA	Margaret Park
1.98	Jack Smith	USA	Steve Johnson
1.98	Tim Goyer	USA	Jane Peacock
3.96	Kathy Chase	USA	Steve Johnson
5.94	Victor Stevens	USA	Steve Johnson
8.91	Martha Silk	Canada	Steve Johnson
13.86	Dominique Lefebvre	France	Margaret Park
0.99	Steve Murray	United Kingdom	Steve Johnson
1.98	Mark Taylor	Australia	Margaret Park
1.98	Luis Rojas	Chile	Steve Johnson
3.96	Puja Srivastava	India	Jane Peacock
5.94	Bjørn Hansen	Norway	Margaret Park
8.91	Eduardo Martins	Brazil	Margaret Park
13.86	Tim Goyer	USA	Jane Peacock
0.99	Ellie Sullivan	Canada	Jane Peacock
1.98	João Fernandes	Portugal	Margaret Park
1.98	Hannah Schneider	Germany	Steve Johnson
3.96	Niklas Schröder	Germany	Jane Peacock
5.94	Wyatt Girard	France	Jane Peacock
8.91	Johannes Van der Berg	Netherlands	Steve Johnson
13.86	Luis Rojas	Chile	Steve Johnson
0.99	Roberto Almeida	Brazil	Jane Peacock
1.98	Fernanda Ramos	Brazil	Margaret Park
1.98	Jennifer Peterson	Canada	Jane Peacock
3.96	Jack Smith	USA	Steve Johnson
5.94	Kathy Chase	USA	Steve Johnson
8.91	Patrick Gray	USA	Margaret Park
13.86	Hannah Schneider	Germany	Steve Johnson
0.99	Enrique Muñoz	Spain	Steve Johnson
1.98	Joakim Johansson	Sweden	Steve Johnson
1.98	Phil Hughes	United Kingdom	Jane Peacock
3.96	Mark Taylor	Australia	Margaret Park
5.94	Puja Srivastava	India	Jane Peacock
8.91	Helena Holý	Czech Republic	Steve Johnson
13.86	Jennifer Peterson	Canada	Jane Peacock
0.99	Robert Brown	Canada	Jane Peacock
1.98	Edward Francis	Canada	Jane Peacock
1.98	Aaron Mitchell	Canada	Margaret Park
3.96	João Fernandes	Portugal	Margaret Park
5.94	Niklas Schröder	Germany	Jane Peacock
8.91	Terhi Hämäläinen	Finland	Jane Peacock
13.86	Phil Hughes	United Kingdom	Jane Peacock
0.99	Daan Peeters	Belgium	Margaret Park
1.98	Kara Nielsen	Denmark	Margaret Park
1.98	Alexandre Rocha	Brazil	Steve Johnson
3.96	Fernanda Ramos	Brazil	Margaret Park
5.94	Jack Smith	USA	Steve Johnson
8.91	John Gordon	USA	Margaret Park
13.86	Aaron Mitchell	Canada	Margaret Park
0.99	Hugh O'Reilly	Ireland	Jane Peacock
1.98	Lucas Mancini	Italy	Steve Johnson
1.98	Stanisław Wójcik	Poland	Margaret Park
3.96	Joakim Johansson	Sweden	Steve Johnson
5.94	Mark Taylor	Australia	Margaret Park
8.91	Leonie Köhler	Germany	Steve Johnson
13.86	Alexandre Rocha	Brazil	Steve Johnson
0.99	Victor Stevens	USA	Steve Johnson
1.98	Richard Cunningham	USA	Margaret Park
1.98	Julia Barnett	USA	Steve Johnson
3.96	Edward Francis	Canada	Jane Peacock
5.94	João Fernandes	Portugal	Margaret Park
8.91	Dominique Lefebvre	France	Margaret Park
13.86	Stanisław Wójcik	Poland	Margaret Park
0.99	Bjørn Hansen	Norway	Margaret Park
1.98	František Wichterlová	Czech Republic	Margaret Park
1.98	Astrid Gruber	Austria	Steve Johnson
3.96	Kara Nielsen	Denmark	Margaret Park
5.94	Fernanda Ramos	Brazil	Margaret Park
8.91	Tim Goyer	USA	Jane Peacock
13.86	Julia Barnett	USA	Steve Johnson
0.99	Wyatt Girard	France	Jane Peacock
1.98	Isabelle Mercier	France	Jane Peacock
1.98	Ladislav Kovács	Hungary	Jane Peacock
3.96	Lucas Mancini	Italy	Steve Johnson
6.94	Joakim Johansson	Sweden	Steve Johnson
17.91	Luis Rojas	Chile	Steve Johnson
18.86	Astrid Gruber	Austria	Steve Johnson
0.99	Kathy Chase	USA	Steve Johnson
1.98	Heather Leacock	USA	Margaret Park
1.98	Frank Ralston	USA	Jane Peacock
